Algorithm,Alpha,Attack Type,Parameter,RecovBER
SVD(S),0.06,Crop 50%,0.5,0.5625
SVD(S),0.06,Crop 70%,0.7,0.234375
SVD(S),0.06,Resize 50%,0.5,0.5625
SVD(S),0.06,Salt&Pepper 1%,0.01,0
SVD(S),0.06,Salt&Pepper 5%,0.05,0
SVD(S),0.06,Quantize (32 levels),32,0.5625
SVD(S),0.06,Gamma 0.8,0.8,0.5625
SVD(S),0.06,Brightness +0.2,0.2,0.4375
SVD(S),0.06,Rotation 1 deg,1,0.5
SVD(S),0.06,Rotation 5 deg,5,0.578125
SVD(S),0.06,Rotation 45 deg,45,0.5625
SVD(I),0.06,No Attack,0,0
SVD(I),0.06,Crop 50%,0.5,0.5625
SVD(I),0.06,Crop 70%,0.7,0.234375
SVD(I),0.06,Resize 50%,0.5,0.5625
SVD(I),0.06,Salt&Pepper 1%,0.01,0
SVD(I),0.06,Salt&Pepper 5%,0.05,0
SVD(I),0.06,Quantize (32 levels),32,0.5625
SVD(I),0.06,Gamma 0.8,0.8,0.5625
SVD(I),0.06,Brightness +0.2,0.2,0.4375
SVD(I),0.06,Rotation 1 deg,1,0.5
SVD(I),0.06,Rotation 5 deg,5,0.578125
SVD(I),0.06,Rotation 45 deg,45,0.5625
DFT(L),0.06,No Attack,0,0.5625
DFT(L),0.06,Crop 50%,0.5,0.5625
DFT(L),0.06,Crop 70%,0.7,0.5625
DFT(L),0.06,Resize 50%,0.5,0.5625
DFT(L),0.06,Salt&Pepper 1%,0.01,0.5625
DFT(L),0.06,Salt&Pepper 5%,0.05,0.5625
DFT(L),0.06,Quantize (32 levels),32,0.5625
DFT(L),0.06,Gamma 0.8,0.8,0.5625
DFT(L),0.06,Brightness +0.2,0.2,0.5625
DFT(L),0.06,Rotation 1 deg,1,0.5625
DFT(L),0.06,Rotation 5 deg,5,0.5625
DFT(L),0.06,Rotation 45 deg,45,0.5625
DCT(O),0.06,No Attack,0,0
DCT(O),0.06,Crop 50%,0.5,0
DCT(O),0.06,Crop 70%,0.7,0
