Iteration,Algorithm,Resolution,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
31,DCT (Legacy),FHD,0.122,1.06589,44.7992,16.4024,0.132683
31,DCT (Legacy),FHD,0.123,1.06736,42.3084,16.3567,0.131473
32,DCT (Legacy),FHD,0.124,1.0681,43.1405,16.3115,0.130285
32,DCT (Legacy),FHD,0.125,1.06979,42.7984,16.267,0.129113
32,DCT (Legacy),FHD,0.126,1.06816,44.3835,16.223,0.127976
32,DCT (Legacy),FHD,0.127,1.06707,44.65,16.1796,0.126845
33,DCT (Legacy),FHD,0.128,1.06835,44.4671,16.137,0.125739
33,DCT (Legacy),FHD,0.129,1.06813,49.5017,16.0948,0.124654
33,DCT (Legacy),FHD,0.13,1.06854,52.5426,16.053,0.123585
33,DCT (Legacy),FHD,0.131,1.06502,43.8427,16.012,0.12254
34,DCT (Legacy),FHD,0.132,1.06883,52.0837,15.9716,0.121514
34,DCT (Legacy),FHD,0.133,1.9024,52.8272,15.9316,0.120495
34,DCT (Legacy),FHD,0.134,1.06861,50.8259,15.8922,0.119503
34,DCT (Legacy),FHD,0.135,1.07085,56.1824,15.8533,0.118527
35,DCT (Legacy),FHD,0.136,1.06851,46.1697,15.815,0.117564
35,DCT (Legacy),FHD,0.137,1.06637,46.6007,15.7772,0.116619
35,DCT (Legacy),FHD,0.138,1.0673,49.3591,15.7399,0.115694
35,DCT (Legacy),FHD,0.139,1.0656,49.323,15.7031,0.114774
36,DCT (Legacy),FHD,0.14,1.06963,50.7709,15.6668,0.113874
36,DCT (Legacy),FHD,0.141,1.06806,60.2365,15.6311,0.112986
36,DCT (Legacy),FHD,0.142,1.06781,47.0932,15.5956,0.112115
36,DCT (Legacy),FHD,0.143,1.06826,46.6818,15.5607,0.111257
37,DCT (Legacy),FHD,0.144,1.06701,54.266,15.5265,0.110415
37,DCT (Legacy),FHD,0.145,1.06842,52.5323,15.4925,0.109585
37,DCT (Legacy),FHD,0.146,1.06826,45.8501,15.459,0.108768
37,DCT (Legacy),FHD,0.147,1.06701,41.7693,15.4261,0.107964
38,DCT (Legacy),FHD,0.148,1.06723,44.7579,15.3934,0.107172
38,DCT (Legacy),FHD,0.149,2.4879,44.8481,15.3613,0.106388
38,DCT (Legacy),FHD,0.15,1.0704,45.2415,15.3294,0.105621
38,DCT (Legacy),FHD,0.151,1.06739,43.5361,15.2982,0.104872
39,DCT (Legacy),FHD,0.152,1.06864,43.4083,15.2672,0.104128
39,DCT (Legacy),FHD,0.153,1.9032,45.0324,15.2367,0.103401
39,DCT (Legacy),FHD,0.154,1.08765,44.0761,15.2065,0.102689
39,DCT (Legacy),FHD,0.155,1.06906,43.9765,15.1769,0.101986
40,DCT (Legacy),FHD,0.156,1.06694,42.3619,15.1475,0.101291
40,DCT (Legacy),FHD,0.157,1.06746,43.3825,15.1185,0.100605
40,DCT (Legacy),FHD,0.158,1.0671,42.8935,15.0899,0.099929
40,DCT (Legacy),FHD,0.159,1.08544,42.2947,15.0617,0.0992683
41,DCT (Legacy),FHD,0.16,1.06877,43.8123,15.0338,0.098617
41,DCT (Legacy),FHD,0.161,1.06906,42.1538,15.0061,0.0979675
41,DCT (Legacy),FHD,0.162,1.06848,42.8039,14.979,0.0973312
41,DCT (Legacy),FHD,0.163,1.10458,42.7561,14.9521,0.0966972
42,DCT (Legacy),FHD,0.164,1.06704,42.4143,14.9256,0.0960801
42,DCT (Legacy),FHD,0.165,1.0711,43.7709,14.8994,0.0954697
42,DCT (Legacy),FHD,0.166,1.06877,43.7009,14.8735,0.094867
42,DCT (Legacy),FHD,0.167,2.48422,43.5343,14.8479,0.0942797
43,DCT (Legacy),FHD,0.168,1.06765,43.2299,14.8226,0.0936945
43,DCT (Legacy),FHD,0.169,1.06736,42.0235,14.7977,0.093125
43,DCT (Legacy),FHD,0.17,1.07142,41.1395,14.7731,0.0925636
43,DCT (Legacy),FHD,0.171,1.09085,43.8884,14.7487,0.0920089
44,DCT (Legacy),FHD,0.172,1.06886,41.2769,14.7247,0.0914619
44,DCT (Legacy),FHD,0.173,1.06694,42.7016,14.701,0.0909222
44,DCT (Legacy),FHD,0.174,1.0679,43.9026,14.6775,0.0903915
44,DCT (Legacy),FHD,0.175,1.0911,41.7574,14.6543,0.089868
45,DCT (Legacy),FHD,0.176,1.06538,43.749,14.6313,0.0893519
45,DCT (Legacy),FHD,0.177,1.06739,41.8849,14.6089,0.088841
45,DCT (Legacy),FHD,0.178,1.06845,40.8361,14.5863,0.0883336
45,DCT (Legacy),FHD,0.179,1.06701,41.5282,14.5642,0.0878395
46,DCT (Legacy),FHD,0.18,1.06701,43.7708,14.5424,0.0873476
46,DCT (Legacy),FHD,0.181,1.06554,45.1893,14.5208,0.0868605
46,DCT (Legacy),FHD,0.182,1.06544,42.4433,14.4995,0.0863814
46,DCT (Legacy),FHD,0.183,1.06829,46.1029,14.4783,0.0859107
47,DCT (Legacy),FHD,0.184,1.06733,44.4451,14.4575,0.0854513
47,DCT (Legacy),FHD,0.185,1.06858,42.171,14.4369,0.0849936
47,DCT (Legacy),FHD,0.186,1.06538,41.7694,14.4165,0.0845368
47,DCT (Legacy),FHD,0.187,1.06915,41.5719,14.3963,0.0840874
48,DCT (Legacy),FHD,0.188,1.06906,46.1061,14.3764,0.0836468
48,DCT (Legacy),FHD,0.189,1.06867,52.6913,14.3567,0.0832084
48,DCT (Legacy),FHD,0.19,1.09091,46.1429,14.3372,0.0827809
48,DCT (Legacy),FHD,0.191,1.09533,40.9759,14.3179,0.0823681
49,DCT (Legacy),FHD,0.192,1.06602,42.8695,14.2989,0.08195
49,DCT (Legacy),FHD,0.193,1.06826,42.651,14.28,0.081537
49,DCT (Legacy),FHD,0.194,1.06771,48.8095,14.2612,0.0811312
49,DCT (Legacy),FHD,0.195,1.07059,41.9387,14.2428,0.0807276
50,DCT (Legacy),FHD,0.196,1.06666,44.1183,14.2246,0.0803339
50,DCT (Legacy),FHD,0.197,1.06813,41.9439,14.2065,0.0799494
50,DCT (Legacy),FHD,0.198,1.06512,42.68,14.1886,0.0795608
50,DCT (Legacy),FHD,0.199,1.08138,42.815,14.171,0.0791833
51,DCT (Legacy),FHD,0.2,1.06906,41.485,14.1536,0.0788107
51,DCT (Legacy),FHD,0.201,1.06906,43.5723,14.1362,0.0784377
51,DCT (Legacy),FHD,0.202,1.06781,44.5012,14.1189,0.0780678
51,DCT (Legacy),FHD,0.203,1.0671,42.4684,14.102,0.0777049
52,DCT (Legacy),FHD,0.204,1.08739,42.936,14.0851,0.0773482
52,DCT (Legacy),FHD,0.205,1.07011,43.4051,14.0685,0.0769956
52,DCT (Legacy),FHD,0.206,1.07034,43.3799,14.0521,0.0766496
52,DCT (Legacy),FHD,0.207,1.06701,42.6493,14.0358,0.0762999
53,DCT (Legacy),FHD,0.208,1.06758,43.214,14.0197,0.0759612
53,DCT (Legacy),FHD,0.209,1.07286,41.4122,14.0036,0.0756227
53,DCT (Legacy),FHD,0.21,1.0703,45.763,13.9879,0.0752914
53,DCT (Legacy),FHD,0.211,1.06688,43.9803,13.9722,0.0749603
54,DCT (Legacy),FHD,0.212,1.588,42.8854,13.9566,0.0746341
54,DCT (Legacy),FHD,0.213,1.06547,40.7607,13.9413,0.0743159
54,DCT (Legacy),FHD,0.214,1.06774,40.4475,13.9259,0.0739936
54,DCT (Legacy),FHD,0.215,1.06883,42.6799,13.911,0.073677
55,DCT (Legacy),FHD,0.216,1.09517,42.9317,13.896,0.0733727
55,DCT (Legacy),FHD,0.217,1.09184,43.7005,13.8812,0.0730673
55,DCT (Legacy),FHD,0.218,1.06701,41.0596,13.8667,0.0727674
55,DCT (Legacy),FHD,0.219,1.06883,42.5262,13.8521,0.0724686
