Iteration,Algorithm,Resolution,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
755,SVD (Implicit),FHD,0.014,0.388416,45.8443,43.0691,0.96464
755,SVD (Implicit),FHD,0.015,0.387136,43.5261,42.4901,0.959782
755,SVD (Implicit),FHD,0.016,0.38816,43.4481,41.9586,0.954802
756,SVD (Implicit),FHD,0.017,0.384448,43.9393,41.4477,0.949514
756,SVD (Implicit),FHD,0.018,0.385024,41.6035,40.969,0.944074
756,SVD (Implicit),FHD,0.019,0.385024,39.188,40.5107,0.938315
756,SVD (Implicit),FHD,0.02,0.386048,44.2237,40.079,0.932435
757,SVD (Implicit),FHD,0.021,0.388736,44.1826,39.6665,0.926385
757,SVD (Implicit),FHD,0.022,0.382688,51.4625,39.2741,0.920132
757,SVD (Implicit),FHD,0.023,0.38624,42.0507,38.896,0.913748
757,SVD (Implicit),FHD,0.024,0.385024,43.2505,38.5354,0.907177
758,SVD (Implicit),FHD,0.025,0.385024,44.3989,38.1894,0.900551
758,SVD (Implicit),FHD,0.026,0.38576,44.3162,37.8556,0.893748
758,SVD (Implicit),FHD,0.027,0.387072,40.8758,37.5353,0.886862
758,SVD (Implicit),FHD,0.028,0.393216,44.8543,37.2282,0.879916
759,SVD (Implicit),FHD,0.029,0.3864,48.478,36.9276,0.872823
759,SVD (Implicit),FHD,0.03,0.38912,42.6318,36.6407,0.865708
759,SVD (Implicit),FHD,0.031,0.387072,42.3219,36.3623,0.858529
759,SVD (Implicit),FHD,0.032,0.387072,42.6892,36.0931,0.85132
760,SVD (Implicit),FHD,0.033,0.387072,47.3398,35.83,0.843987
760,SVD (Implicit),FHD,0.034,0.390048,43.2457,35.5765,0.836677
760,SVD (Implicit),FHD,0.035,0.385024,44.1392,35.3303,0.829366
760,SVD (Implicit),FHD,0.036,0.382976,43.5874,35.09,0.821992
761,SVD (Implicit),FHD,0.037,0.386944,40.0148,34.8578,0.814637
761,SVD (Implicit),FHD,0.038,0.385024,39.6823,34.6314,0.807256
761,SVD (Implicit),FHD,0.039,0.387072,42.2273,34.411,0.79992
761,SVD (Implicit),FHD,0.04,0.387072,41.2897,34.1951,0.792548
762,SVD (Implicit),FHD,0.041,0.385792,39.8148,33.9856,0.785218
762,SVD (Implicit),FHD,0.042,0.385472,40.4393,33.7809,0.777967
762,SVD (Implicit),FHD,0.043,0.386464,42.379,33.5813,0.77066
762,SVD (Implicit),FHD,0.044,0.386912,40.6484,33.3857,0.763399
763,SVD (Implicit),FHD,0.045,0.3848,41.28,33.1941,0.756146
763,SVD (Implicit),FHD,0.046,0.385216,40.6483,33.0086,0.749003
763,SVD (Implicit),FHD,0.047,0.38912,40.5618,32.8275,0.741952
763,SVD (Implicit),FHD,0.048,0.382976,41.7952,32.6472,0.73479
764,SVD (Implicit),FHD,0.049,0.385024,41.6471,32.4716,0.727754
764,SVD (Implicit),FHD,0.05,0.387392,39.8482,32.3009,0.720813
764,SVD (Implicit),FHD,0.051,0.387136,40.2147,32.1331,0.713913
764,SVD (Implicit),FHD,0.052,0.401408,41.3079,31.9689,0.707061
765,SVD (Implicit),FHD,0.053,0.383936,39.7414,31.8066,0.700236
765,SVD (Implicit),FHD,0.054,0.384896,39.0941,31.6492,0.69352
765,SVD (Implicit),FHD,0.055,0.387072,39.9912,31.4938,0.686869
765,SVD (Implicit),FHD,0.056,0.385024,40.4747,31.3404,0.680247
766,SVD (Implicit),FHD,0.057,0.38528,44.4896,31.1909,0.673781
766,SVD (Implicit),FHD,0.058,0.381888,43.1038,31.0439,0.667531
766,SVD (Implicit),FHD,0.059,0.385024,44.3241,30.8857,0.659762
766,SVD (Implicit),FHD,0.06,0.385024,43.2253,30.7578,0.654345
767,SVD (Implicit),FHD,0.061,0.387072,40.9822,30.618,0.648161
767,SVD (Implicit),FHD,0.062,0.387072,40.9978,30.481,0.642027
767,SVD (Implicit),FHD,0.0629999,0.39936,52.8163,30.3467,0.635966
767,SVD (Implicit),FHD,0.064,0.38384,47.4674,30.212,0.629884
768,SVD (Implicit),FHD,0.065,0.384704,40.2372,30.0809,0.62393
768,SVD (Implicit),FHD,0.066,0.391072,41.0482,29.9523,0.618041
768,SVD (Implicit),FHD,0.067,0.383232,40.4908,29.8245,0.612215
768,SVD (Implicit),FHD,0.068,0.384672,42.8173,29.6997,0.606492
769,SVD (Implicit),FHD,0.069,0.385024,41.4906,29.5769,0.60083
769,SVD (Implicit),FHD,0.07,0.386976,40.5248,29.4556,0.595245
769,SVD (Implicit),FHD,0.071,0.387072,40.4937,29.3357,0.589708
769,SVD (Implicit),FHD,0.072,0.385856,40.8363,29.2177,0.584271
770,SVD (Implicit),FHD,0.073,0.806944,44.3725,29.1013,0.578891
770,SVD (Implicit),FHD,0.074,0.385024,48.6484,28.9872,0.573572
770,SVD (Implicit),FHD,0.075,0.385056,40.0973,28.8754,0.568357
770,SVD (Implicit),FHD,0.076,0.385536,40.7219,28.7639,0.563388
771,SVD (Implicit),FHD,0.077,0.387072,42.9808,28.6528,0.558149
771,SVD (Implicit),FHD,0.078,0.389952,41.5104,28.5437,0.553089
771,SVD (Implicit),FHD,0.079,0.384992,40.4515,28.4373,0.548158
771,SVD (Implicit),FHD,0.08,0.381824,43.6713,28.331,0.543287
772,SVD (Implicit),FHD,0.081,0.385024,39.2726,28.2268,0.538473
772,SVD (Implicit),FHD,0.082,0.944672,41.5839,28.1238,0.533733
772,SVD (Implicit),FHD,0.083,0.384512,42.8009,28.0219,0.529044
772,SVD (Implicit),FHD,0.084,0.385024,43.2228,27.9211,0.524431
773,SVD (Implicit),FHD,0.085,0.3864,48.7776,27.8221,0.519882
773,SVD (Implicit),FHD,0.086,0.385152,51.1023,27.7242,0.515397
773,SVD (Implicit),FHD,0.087,0.383296,49.4662,27.6269,0.510975
773,SVD (Implicit),FHD,0.088,0.386112,46.5915,27.5307,0.506615
774,SVD (Implicit),FHD,0.089,0.38192,44.2057,27.4358,0.502293
774,SVD (Implicit),FHD,0.09,0.384352,47.5378,27.343,0.498101
774,SVD (Implicit),FHD,0.091,0.387168,47.9945,27.2502,0.493936
774,SVD (Implicit),FHD,0.092,0.387072,47.6049,27.1589,0.489849
775,SVD (Implicit),FHD,0.093,0.384768,47.3147,27.0685,0.48572
775,SVD (Implicit),FHD,0.094,0.382976,44.3743,26.9782,0.481728
775,SVD (Implicit),FHD,0.095,0.387072,48.9214,26.8898,0.477797
775,SVD (Implicit),FHD,0.096,0.385248,49.6947,26.8019,0.473906
776,SVD (Implicit),FHD,0.097,0.385664,44.8657,26.7156,0.470108
776,SVD (Implicit),FHD,0.098,0.387072,45.6312,26.6298,0.466352
776,SVD (Implicit),FHD,0.099,0.386016,47.4657,26.5451,0.462621
776,SVD (Implicit),FHD,0.1,0.385056,41.4039,26.4609,0.458928
777,SVD (Implicit),FHD,0.101,0.387072,42.8008,26.3778,0.455334
777,SVD (Implicit),FHD,0.102,0.383424,44.8261,26.2957,0.451772
777,SVD (Implicit),FHD,0.103,0.38912,43.4333,26.2139,0.44823
777,SVD (Implicit),FHD,0.104,0.399072,42.9949,26.1329,0.444776
778,SVD (Implicit),FHD,0.105,0.386496,42.905,26.0533,0.441382
778,SVD (Implicit),FHD,0.106,0.383424,44.3628,25.9742,0.437999
778,SVD (Implicit),FHD,0.107,0.397536,41.8332,25.8961,0.434698
778,SVD (Implicit),FHD,0.108,0.386528,40.4766,25.8183,0.431399
779,SVD (Implicit),FHD,0.109,0.386816,43.1495,25.7417,0.428217
779,SVD (Implicit),FHD,0.11,0.3888,50.4922,25.6655,0.425012
779,SVD (Implicit),FHD,0.111,0.38912,41.5432,25.59,0.421873
779,SVD (Implicit),FHD,0.112,0.387104,40.5175,25.5152,0.418758
780,SVD (Implicit),FHD,0.113,0.385344,42.493,25.4414,0.415727
780,SVD (Implicit),FHD,0.114,0.387072,42.9777,25.3684,0.412736
780,SVD (Implicit),FHD,0.115,0.383424,40.6209,25.295,0.409788
780,SVD (Implicit),FHD,0.116,0.383328,46.7847,25.2231,0.406879
781,SVD (Implicit),FHD,0.117,0.386592,44.3123,25.1518,0.403991
781,SVD (Implicit),FHD,0.118,0.387072,42.8162,25.0811,0.40112
781,SVD (Implicit),FHD,0.119,0.385408,40.7579,25.0106,0.398328
781,SVD (Implicit),FHD,0.12,0.385024,40.4386,24.941,0.395574
782,SVD (Implicit),FHD,0.121,0.387072,42.5358,24.8724,0.3929
782,SVD (Implicit),FHD,0.122,0.385024,47.9953,24.804,0.3902
782,SVD (Implicit),FHD,0.123,0.38512,45.8866,24.736,0.387546
782,SVD (Implicit),FHD,0.124,0.386496,47.5777,24.6687,0.384939
783,SVD (Implicit),FHD,0.125,0.385024,50.8642,24.6023,0.382353
783,SVD (Implicit),FHD,0.126,0.382976,48.3709,24.536,0.379811
783,SVD (Implicit),FHD,0.127,0.38896,56.9407,24.47,0.377293
783,SVD (Implicit),FHD,0.128,0.385024,52.6017,24.406,0.374866
784,SVD (Implicit),FHD,0.129,0.38448,46.5285,24.3403,0.372379
784,SVD (Implicit),FHD,0.13,0.387072,48.2638,24.2766,0.369982
784,SVD (Implicit),FHD,0.131,0.387072,47.0274,24.2136,0.367631
784,SVD (Implicit),FHD,0.132,0.384864,53.3659,24.1504,0.36526
785,SVD (Implicit),FHD,0.133,0.385024,51.2365,24.0877,0.362954
785,SVD (Implicit),FHD,0.134,0.385408,49.2933,24.0256,0.36067
785,SVD (Implicit),FHD,0.135,0.385056,51.0069,23.964,0.358421
785,SVD (Implicit),FHD,0.136,0.382976,51.0301,23.9031,0.356201
786,SVD (Implicit),FHD,0.137,0.383584,49.3724,23.8424,0.354016
786,SVD (Implicit),FHD,0.138,0.387328,53.2847,23.7822,0.351851
786,SVD (Implicit),FHD,0.139,0.3864,51.4207,23.7225,0.349722
786,SVD (Implicit),FHD,0.14,0.385024,66.0995,23.6632,0.347614
787,SVD (Implicit),FHD,0.141,0.384928,55.9755,23.6044,0.345521
787,SVD (Implicit),FHD,0.142,0.38304,50.7468,23.5458,0.343458
787,SVD (Implicit),FHD,0.143,0.3936,52.8829,23.4877,0.341435
787,SVD (Implicit),FHD,0.144,0.387072,53.1983,23.4301,0.339436
788,SVD (Implicit),FHD,0.145,0.382464,54.3476,23.3732,0.337465
788,SVD (Implicit),FHD,0.146,0.386048,49.7963,23.3164,0.335513
788,SVD (Implicit),FHD,0.147,0.387072,47.2573,23.2597,0.333592
788,SVD (Implicit),FHD,0.148,0.380928,48.212,23.204,0.331689
789,SVD (Implicit),FHD,0.149,0.385504,46.7256,23.1488,0.329823
789,SVD (Implicit),FHD,0.15,0.388736,44.3829,23.0934,0.327964
789,SVD (Implicit),FHD,0.151,0.383648,43.5655,23.0376,0.326102
789,SVD (Implicit),FHD,0.152,0.384672,46.1327,22.9843,0.324297
790,SVD (Implicit),FHD,0.153,0.383616,46.2236,22.9307,0.322569
790,SVD (Implicit),FHD,0.154,0.38336,46.6334,22.8767,0.320836
790,SVD (Implicit),FHD,0.155,0.385024,49.3625,22.8227,0.31906
790,SVD (Implicit),FHD,0.156,0.385184,47.8611,22.77,0.31736
791,SVD (Implicit),FHD,0.157,0.384864,51.1305,22.7174,0.315648
791,SVD (Implicit),FHD,0.158,0.380928,51.5078,22.6654,0.313968
791,SVD (Implicit),FHD,0.159,0.386784,52.9717,22.6131,0.312332
791,SVD (Implicit),FHD,0.16,0.386944,49.5382,22.5615,0.310683
792,SVD (Implicit),FHD,0.161,0.385024,59.4756,22.5102,0.309068
792,SVD (Implicit),FHD,0.162,0.38576,59.608,22.4597,0.307476
792,SVD (Implicit),FHD,0.163,0.383904,55.4166,22.4093,0.305885
792,SVD (Implicit),FHD,0.164,0.387552,65.5741,22.359,0.304385
793,SVD (Implicit),FHD,0.165,0.31072,50.6417,22.3085,0.302815
793,SVD (Implicit),FHD,0.166,0.308224,58.7428,22.2587,0.301293
793,SVD (Implicit),FHD,0.167,0.30832,50.2399,22.2094,0.299789
793,SVD (Implicit),FHD,0.168,0.3072,49.4231,22.1604,0.298305
794,SVD (Implicit),FHD,0.169,0.309248,42.7872,22.112,0.296845
794,SVD (Implicit),FHD,0.17,0.306336,46.9261,22.0633,0.295403
794,SVD (Implicit),FHD,0.171,0.312352,45.9687,22.0152,0.29396
794,SVD (Implicit),FHD,0.172,0.306752,47.9927,21.9675,0.292547
795,SVD (Implicit),FHD,0.173,0.309888,54.5845,21.9199,0.291146
795,SVD (Implicit),FHD,0.174,0.3072,47.5817,21.8725,0.289765
795,SVD (Implicit),FHD,0.175,0.308928,49.2406,21.8256,0.288405
795,SVD (Implicit),FHD,0.176,0.3072,52.2873,21.779,0.287068
796,SVD (Implicit),FHD,0.177,0.306272,64.8523,21.7327,0.285695
796,SVD (Implicit),FHD,0.178,0.307552,56.8126,21.6863,0.284383
796,SVD (Implicit),FHD,0.179,0.309248,42.6397,21.6404,0.283087
796,SVD (Implicit),FHD,0.18,0.309248,43.8374,21.5949,0.281804
797,SVD (Implicit),FHD,0.181,0.3072,48.8335,21.5495,0.280522
797,SVD (Implicit),FHD,0.182,0.307168,46.4101,21.5045,0.279264
797,SVD (Implicit),FHD,0.183,0.308096,46.2765,21.4595,0.278013
797,SVD (Implicit),FHD,0.184,0.310272,46.292,21.4151,0.276783
798,SVD (Implicit),FHD,0.185,0.305696,46.5269,21.3707,0.275577
798,SVD (Implicit),FHD,0.186,0.3072,47.5933,21.3265,0.274375
798,SVD (Implicit),FHD,0.187,0.311296,47.8483,21.2827,0.273185
798,SVD (Implicit),FHD,0.188,0.3072,48.7056,21.2393,0.271999
799,SVD (Implicit),FHD,0.189,0.30864,47.1441,21.1962,0.270854
799,SVD (Implicit),FHD,0.19,0.309056,52.8919,21.1528,0.269686
799,SVD (Implicit),FHD,0.191,0.309248,60.8762,21.11,0.268558
799,SVD (Implicit),FHD,0.192,0.306816,49.8398,21.0674,0.267415
800,SVD (Implicit),FHD,0.193,0.309248,64.5754,21.0244,0.266286
800,SVD (Implicit),FHD,0.194,0.31152,57.9604,20.9824,0.265188
800,SVD (Implicit),FHD,0.195,0.305728,51.0403,20.9407,0.264106
800,SVD (Implicit),FHD,0.196,0.307136,51.9813,20.8991,0.263032
801,SVD (Implicit),FHD,0.197,0.30896,50.1685,20.8573,0.261948
801,SVD (Implicit),FHD,0.198,0.307904,51.5915,20.8163,0.260898
801,SVD (Implicit),FHD,0.199,0.308096,48.3239,20.7753,0.259859
801,SVD (Implicit),FHD,0.2,0.308384,48.2594,20.7343,0.258814
802,SVD (Implicit),FHD,0.201,0.30576,48.859,20.6935,0.25779
802,SVD (Implicit),FHD,0.202,0.386336,51.4183,20.6531,0.256769
802,SVD (Implicit),FHD,0.203,0.386688,53.8634,20.6129,0.25578
802,SVD (Implicit),FHD,0.204,0.387072,49.6801,20.5731,0.254791
803,SVD (Implicit),FHD,0.205,0.38512,52.7337,20.5334,0.253818
803,SVD (Implicit),FHD,0.206,0.387104,45.2574,20.4932,0.252806
803,SVD (Implicit),FHD,0.207,0.38912,58.6008,20.4541,0.251867
803,SVD (Implicit),FHD,0.208,0.383712,43.8221,20.4151,0.250923
804,SVD (Implicit),FHD,0.209,0.394816,46.2798,20.3755,0.249969
804,SVD (Implicit),FHD,0.21,0.383296,73.0806,20.3365,0.249041
804,SVD (Implicit),FHD,0.211,0.387072,49.269,20.2986,0.24814
804,SVD (Implicit),FHD,0.212,0.387072,49.6604,20.2597,0.247221
805,SVD (Implicit),FHD,0.213,0.38288,48.9171,20.2218,0.246321
805,SVD (Implicit),FHD,0.214,0.383072,51.111,20.1838,0.245422
805,SVD (Implicit),FHD,0.215,0.38624,49.8064,20.146,0.244539
805,SVD (Implicit),FHD,0.216,0.385024,63.835,20.1081,0.243647
806,SVD (Implicit),FHD,0.217,0.387904,57.4445,20.0705,0.242773
806,SVD (Implicit),FHD,0.218,0.387136,47.1237,20.0331,0.241908
806,SVD (Implicit),FHD,0.219,0.38928,49.3346,19.9961,0.241062
806,SVD (Implicit),FHD,0.22,0.382976,47.4211,19.9593,0.240216
807,SVD (Implicit),FHD,0.221,0.387104,54.0917,19.9224,0.239381
807,SVD (Implicit),FHD,0.222,0.386368,51.5284,19.8858,0.238554
807,SVD (Implicit),FHD,0.223,0.385024,57.2559,19.8493,0.237738
807,SVD (Implicit),FHD,0.224,0.382976,47.0801,19.8132,0.236925
808,SVD (Implicit),FHD,0.225,0.382976,52.5634,19.7768,0.236114
808,SVD (Implicit),FHD,0.226,0.383776,64.1697,19.7411,0.235329
808,SVD (Implicit),FHD,0.227,0.38576,69.753,19.7052,0.23453
808,SVD (Implicit),FHD,0.228,0.385568,50.8753,19.6695,0.233753
809,SVD (Implicit),FHD,0.229,0.385216,55.4628,19.634,0.23297
809,SVD (Implicit),FHD,0.23,0.38368,62.1521,19.5993,0.232222
809,SVD (Implicit),FHD,0.231,0.385024,56.9034,19.5636,0.231453
809,SVD (Implicit),FHD,0.232,0.38304,48.2848,19.5287,0.230695
810,SVD (Implicit),FHD,0.233,0.388384,46.4807,19.4937,0.229947
810,SVD (Implicit),FHD,0.234,0.38784,49.8479,19.4591,0.229207
810,SVD (Implicit),FHD,0.235,0.389024,54.4472,19.4248,0.228486
810,SVD (Implicit),FHD,0.236,0.386368,51.5019,19.3903,0.227753
811,SVD (Implicit),FHD,0.237,0.38528,50.0411,19.356,0.22704
811,SVD (Implicit),FHD,0.238,0.383008,46.5081,19.3221,0.226328
811,SVD (Implicit),FHD,0.239,0.385568,78.9859,19.2883,0.225624
811,SVD (Implicit),FHD,0.24,0.388544,65.7639,19.2543,0.224922
812,SVD (Implicit),FHD,0.241,0.387072,51.8083,19.2207,0.224227
812,SVD (Implicit),FHD,0.242,0.386784,48.1063,19.1872,0.22354
812,SVD (Implicit),FHD,0.243,0.385024,51.4805,19.154,0.222858
812,SVD (Implicit),FHD,0.244,0.385024,58.8345,19.121,0.222181
813,SVD (Implicit),FHD,0.245,0.383616,57.1432,19.0875,0.221517
813,SVD (Implicit),FHD,0.246,0.384256,47.7505,19.0547,0.220866
813,SVD (Implicit),FHD,0.247,0.3848,57.3838,19.0237,0.220241
813,SVD (Implicit),FHD,0.248,0.386784,40.7755,18.9895,0.219534
814,SVD (Implicit),FHD,0.249,0.386016,52.3459,18.9571,0.218895
814,SVD (Implicit),FHD,0.25,0.386432,50.5131,18.9244,0.218249
814,SVD (Implicit),FHD,0.251,0.38672,42.4504,18.8924,0.217619
814,SVD (Implicit),FHD,0.252,0.38736,42.9406,18.8603,0.216993
815,SVD (Implicit),FHD,0.253,0.384,46.1194,18.8283,0.216378
815,SVD (Implicit),FHD,0.254,0.386688,42.6383,18.7962,0.21577
815,SVD (Implicit),FHD,0.255,0.38432,44.811,18.7632,0.215059
815,SVD (Implicit),FHD,0.256,0.389184,43.1767,18.733,0.214495
816,SVD (Implicit),FHD,0.257,0.3864,43.1873,18.7017,0.213904
816,SVD (Implicit),FHD,0.258,0.387072,41.0101,18.6705,0.21331
816,SVD (Implicit),FHD,0.259,0.385216,40.3562,18.6395,0.212718
816,SVD (Implicit),FHD,0.26,0.386528,39.7124,18.6083,0.212131
817,SVD (Implicit),FHD,0.261,0.386496,44.0981,18.5772,0.21155
817,SVD (Implicit),FHD,0.262,0.38704,41.8197,18.5465,0.210976
817,SVD (Implicit),FHD,0.263,0.386208,44.6323,18.5158,0.210396
817,SVD (Implicit),FHD,0.264,0.385856,41.5242,18.4853,0.209833
818,SVD (Implicit),FHD,0.265,0.387264,39.8562,18.4547,0.209262
818,SVD (Implicit),FHD,0.266,0.382976,39.2436,18.4245,0.208712
818,SVD (Implicit),FHD,0.267,0.385024,42.948,18.3941,0.208146
818,SVD (Implicit),FHD,0.268,0.38544,41.4946,18.3641,0.207599
819,SVD (Implicit),FHD,0.269,0.384896,43.9318,18.3342,0.207058
819,SVD (Implicit),FHD,0.27,0.386016,43.0467,18.3043,0.206526
819,SVD (Implicit),FHD,0.271,0.387104,40.7035,18.2747,0.205954
819,SVD (Implicit),FHD,0.272,0.386592,43.603,18.2449,0.205438
820,SVD (Implicit),FHD,0.273,0.387072,39.7842,18.2154,0.204914
820,SVD (Implicit),FHD,0.274,0.385024,39.3886,18.1864,0.204387
820,SVD (Implicit),FHD,0.275,0.38368,41.3648,18.1568,0.203864
820,SVD (Implicit),FHD,0.276,0.385504,41.2979,18.1276,0.203354
821,SVD (Implicit),FHD,0.277,0.385568,38.802,18.0982,0.202828
821,SVD (Implicit),FHD,0.278,0.387008,41.9533,18.0694,0.202321
821,SVD (Implicit),FHD,0.279,0.383648,57.4216,18.0407,0.201819
821,SVD (Implicit),FHD,0.28,0.385696,51.1158,18.0119,0.201312
822,SVD (Implicit),FHD,0.281,0.384224,48.5355,17.9831,0.200815
822,SVD (Implicit),FHD,0.282,0.385952,45.0444,17.9547,0.200324
822,SVD (Implicit),FHD,0.283,0.3912,45.323,17.9266,0.199839
822,SVD (Implicit),FHD,0.284,0.387072,111.288,17.8978,0.199344
823,SVD (Implicit),FHD,0.285,0.384416,46.9734,17.8696,0.198863
823,SVD (Implicit),FHD,0.286,0.387072,46.5548,17.8416,0.198388
823,SVD (Implicit),FHD,0.287,0.386336,67.2837,17.8135,0.197911
823,SVD (Implicit),FHD,0.288,0.386432,47.6116,17.7855,0.19743
824,SVD (Implicit),FHD,0.289,0.385024,50.9633,17.7577,0.196967
824,SVD (Implicit),FHD,0.29,0.380928,45.6989,17.7301,0.196502
824,SVD (Implicit),FHD,0.291,0.385408,52.2095,17.7023,0.196042
824,SVD (Implicit),FHD,0.292,0.384192,45.4441,17.6748,0.19558
825,SVD (Implicit),FHD,0.293,0.387072,40.9889,17.6475,0.195137
825,SVD (Implicit),FHD,0.294,0.387072,39.4498,17.6222,0.194743
825,SVD (Implicit),FHD,0.295,0.383456,39.3961,17.5926,0.194187
825,SVD (Implicit),FHD,0.296,0.385824,45.41,17.5658,0.193754
826,SVD (Implicit),FHD,0.297,0.386592,45.2542,17.5387,0.193314
826,SVD (Implicit),FHD,0.298,0.385024,42.5978,17.512,0.192878
826,SVD (Implicit),FHD,0.299,0.388928,40.1832,17.4849,0.192444
826,SVD (Implicit),FHD,0.3,0.387072,39.9679,17.4583,0.192011
827,SVD (Implicit),FHD,0.301,0.385792,50.3044,17.4315,0.191576
827,SVD (Implicit),FHD,0.302,0.387744,39.9711,17.405,0.191152
827,SVD (Implicit),FHD,0.303,0.385696,44.4823,17.378,0.190722
827,SVD (Implicit),FHD,0.304,0.383968,46.0487,17.3521,0.190313
828,SVD (Implicit),FHD,0.305,0.385088,43.726,17.3259,0.189889
828,SVD (Implicit),FHD,0.306,0.385088,41.129,17.2996,0.189469
828,SVD (Implicit),FHD,0.307,0.386528,41.1383,17.2736,0.189059
828,SVD (Implicit),FHD,0.308,0.387072,44.9612,17.2474,0.188644
829,SVD (Implicit),FHD,0.309,0.385024,44.2062,17.2216,0.188238
829,SVD (Implicit),FHD,0.31,0.387072,42.1929,17.1957,0.187832
829,SVD (Implicit),FHD,0.311,0.3872,41.0374,17.1698,0.187433
829,SVD (Implicit),FHD,0.312,0.385312,40.7783,17.1443,0.187036
830,SVD (Implicit),FHD,0.313,0.385024,39.7211,17.1188,0.186636
830,SVD (Implicit),FHD,0.314,0.384992,42.4525,17.0932,0.186243
830,SVD (Implicit),FHD,0.314999,0.385184,45.7246,17.0675,0.185843
830,SVD (Implicit),FHD,0.315999,0.385088,47.0708,17.0425,0.185467
831,SVD (Implicit),FHD,0.316999,0.387744,46.624,17.0171,0.185075
831,SVD (Implicit),FHD,0.317999,0.385024,39.9012,16.9919,0.184689
831,SVD (Implicit),FHD,0.318999,0.387072,40.8432,16.9668,0.184309
831,SVD (Implicit),FHD,0.319999,0.388256,39.5688,16.9419,0.183932
832,SVD (Implicit),FHD,0.320999,0.385024,39.0835,16.9171,0.183559
832,SVD (Implicit),FHD,0.321999,0.383776,41.3346,16.8922,0.183177
832,SVD (Implicit),FHD,0.322999,0.383232,39.4007,16.8674,0.182808
832,SVD (Implicit),FHD,0.323999,0.3848,39.8616,16.8427,0.182429
833,SVD (Implicit),FHD,0.324999,0.387072,39.3059,16.8182,0.182065
833,SVD (Implicit),FHD,0.325999,0.385024,40.9155,16.7936,0.1817
833,SVD (Implicit),FHD,0.326999,0.38464,47.0202,16.7692,0.181337
833,SVD (Implicit),FHD,0.327999,0.384512,40.4754,16.7448,0.180974
834,SVD (Implicit),FHD,0.328999,0.38688,46.3797,16.7205,0.180616
834,SVD (Implicit),FHD,0.329999,0.384896,41.0433,16.6964,0.180252
834,SVD (Implicit),FHD,0.330999,0.387424,43.3747,16.6721,0.179896
834,SVD (Implicit),FHD,0.331999,0.387264,41.627,16.6483,0.179556
835,SVD (Implicit),FHD,0.332999,0.385024,39.7583,16.6242,0.179191
835,SVD (Implicit),FHD,0.333999,0.386432,39.384,16.6003,0.178849
835,SVD (Implicit),FHD,0.334999,0.383936,42.5623,16.5764,0.178505
835,SVD (Implicit),FHD,0.335999,0.385312,41.3189,16.5528,0.178157
836,SVD (Implicit),FHD,0.336999,0.392576,42.6624,16.5291,0.177814
836,SVD (Implicit),FHD,0.337999,0.386368,40.7741,16.5054,0.177474
836,SVD (Implicit),FHD,0.338999,0.382432,41.4208,16.4819,0.177138
836,SVD (Implicit),FHD,0.339999,0.383104,40.2914,16.4585,0.176798
837,SVD (Implicit),FHD,0.340999,0.390272,41.2659,16.4352,0.176468
837,SVD (Implicit),FHD,0.341999,0.387168,65.6427,16.4118,0.176134
837,SVD (Implicit),FHD,0.342999,0.386656,46.4567,16.3884,0.175799
837,SVD (Implicit),FHD,0.343999,0.383872,41.3312,16.3654,0.175472
838,SVD (Implicit),FHD,0.344999,0.386624,41.2287,16.3422,0.175139
838,SVD (Implicit),FHD,0.345999,0.385024,40.0798,16.3193,0.174824
838,SVD (Implicit),FHD,0.346999,0.385248,41.7393,16.2962,0.174494
838,SVD (Implicit),FHD,0.347999,0.386432,39.3641,16.2732,0.174164
839,SVD (Implicit),FHD,0.348999,0.385408,41.5006,16.2504,0.173855
839,SVD (Implicit),FHD,0.349999,0.38304,47.3922,16.2278,0.173539
839,SVD (Implicit),FHD,0.350999,0.386144,41.5787,16.2051,0.173219
839,SVD (Implicit),FHD,0.351999,0.385024,41.3414,16.1825,0.172906
840,SVD (Implicit),FHD,0.352999,0.382976,41.5269,16.16,0.172586
840,SVD (Implicit),FHD,0.353999,0.385344,43.363,16.1374,0.172281
840,SVD (Implicit),FHD,0.354999,0.386272,40.6606,16.115,0.171972
840,SVD (Implicit),FHD,0.355999,0.386912,41.4161,16.0926,0.171659
841,SVD (Implicit),FHD,0.356999,0.386496,41.0998,16.0705,0.171354
841,SVD (Implicit),FHD,0.357999,0.384416,40.7423,16.0481,0.171048
841,SVD (Implicit),FHD,0.358999,0.383648,39.3088,16.0259,0.170749
841,SVD (Implicit),FHD,0.359999,0.383232,39.5893,16.0039,0.170441
842,SVD (Implicit),FHD,0.360999,0.401536,39.5295,15.9818,0.170142
842,SVD (Implicit),FHD,0.361999,0.38352,41.9711,15.9599,0.169843
842,SVD (Implicit),FHD,0.362999,0.384864,40.6183,15.9379,0.169549
842,SVD (Implicit),FHD,0.363999,0.389152,53.8147,15.9162,0.169256
843,SVD (Implicit),FHD,0.364999,0.397312,45.964,15.8943,0.168949
843,SVD (Implicit),FHD,0.365999,0.385024,39.9392,15.8726,0.168659
843,SVD (Implicit),FHD,0.366999,0.386144,44.3474,15.851,0.16837
843,SVD (Implicit),FHD,0.367999,0.384704,42.0433,15.8295,0.16808
844,SVD (Implicit),FHD,0.368999,0.388768,40.6167,15.8079,0.167795
844,SVD (Implicit),FHD,0.369999,0.385248,40.6773,15.7864,0.167511
844,SVD (Implicit),FHD,0.370999,0.38752,40.1281,15.765,0.167222
