Iteration,Algorithm,Resolution,Alpha,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM,BER
100,DFT,FHD,0.750,14.089,15.652,42.932,0.995,0.502
101,DFT,FHD,0.800,14.282,15.744,42.404,0.994,0.502
102,DFT,FHD,0.850,13.978,15.420,41.906,0.994,0.502
103,DFT,FHD,0.900,14.176,15.731,41.435,0.993,0.502
104,DFT,FHD,0.950,14.161,15.691,40.990,0.993,0.502
105,DFT,FHD,1.000,14.089,15.545,40.565,0.992,0.501
106,DCT (Optimized),FHD,0.000,0.256,1.482,75.873,1.000,0.501
107,DCT (Optimized),FHD,0.050,0.273,1.743,59.433,0.999,0.000
108,DCT (Optimized),FHD,0.100,0.250,1.732,56.319,0.999,0.000
109,DCT (Optimized),FHD,0.150,0.274,1.951,54.279,0.997,0.000
110,DCT (Optimized),FHD,0.200,0.273,1.810,52.604,0.996,0.000
111,DCT (Optimized),FHD,0.250,0.256,1.370,51.137,0.994,0.000
112,DCT (Optimized),FHD,0.300,0.279,1.813,49.826,0.991,0.000
113,DCT (Optimized),FHD,0.350,0.255,1.791,48.665,0.988,0.000
114,DCT (Optimized),FHD,0.400,0.278,1.858,47.630,0.985,0.000
115,DCT (Optimized),FHD,0.450,0.277,1.868,46.697,0.981,0.000
116,DCT (Optimized),FHD,0.500,0.269,1.783,45.850,0.977,0.000
117,DCT (Optimized),FHD,0.550,0.250,1.727,45.075,0.973,0.000
118,DCT (Optimized),FHD,0.600,0.262,1.778,44.357,0.968,0.000
119,DCT (Optimized),FHD,0.650,0.273,1.717,43.694,0.963,0.000
120,DCT (Optimized),FHD,0.700,0.263,1.665,43.076,0.958,0.000
121,DCT (Optimized),FHD,0.750,0.277,1.715,42.497,0.952,0.000
122,DCT (Optimized),FHD,0.800,0.272,1.735,41.954,0.946,0.000
123,DCT (Optimized),FHD,0.850,0.250,1.731,41.442,0.939,0.000
124,DCT (Optimized),FHD,0.900,0.273,1.838,40.959,0.933,0.000
125,DCT (Optimized),FHD,0.950,0.262,1.717,40.502,0.926,0.000
126,DCT (Optimized),FHD,1.000,0.282,1.482,40.067,0.919,0.000
127,DWT (Optimized),FHD,0.000,0.306,1.998,76.014,1.000,0.501
128,DWT (Optimized),FHD,0.050,0.304,1.295,59.330,0.999,0.000
129,DWT (Optimized),FHD,0.100,0.304,1.790,56.199,0.998,0.000
130,DWT (Optimized),FHD,0.150,0.306,1.685,54.155,0.997,0.000
131,DWT (Optimized),FHD,0.200,0.322,1.796,52.496,0.996,0.000
132,DWT (Optimized),FHD,0.250,0.336,1.893,51.036,0.994,0.000
133,DWT (Optimized),FHD,0.300,0.334,1.641,49.739,0.991,0.000
134,DWT (Optimized),FHD,0.350,0.333,1.901,48.590,0.988,0.000
135,DWT (Optimized),FHD,0.400,0.329,1.809,47.561,0.985,0.000
136,DWT (Optimized),FHD,0.450,0.325,1.569,46.632,0.981,0.000
137,DWT (Optimized),FHD,0.500,0.412,2.030,45.789,0.977,0.000
138,DWT (Optimized),FHD,0.550,0.331,1.918,45.013,0.973,0.000
139,DWT (Optimized),FHD,0.600,0.337,1.672,44.299,0.968,0.000
140,DWT (Optimized),FHD,0.650,0.348,1.938,43.636,0.963,0.000
141,DWT (Optimized),FHD,0.700,0.302,1.817,43.021,0.958,0.000
142,DWT (Optimized),FHD,0.750,0.350,2.080,42.444,0.953,0.000
143,DWT (Optimized),FHD,0.800,0.365,1.649,41.903,0.947,0.000
144,DWT (Optimized),FHD,0.850,0.351,1.926,41.392,0.942,0.000
145,DWT (Optimized),FHD,0.900,0.351,1.629,40.910,0.936,0.000
146,DWT (Optimized),FHD,0.950,0.362,1.348,40.452,0.930,0.000
147,DWT (Optimized),FHD,1.000,0.346,1.838,40.017,0.924,0.000
148,DFT (Optimized),FHD,0.000,0.369,1.938,75.601,1.000,0.500
149,DFT (Optimized),FHD,0.050,0.377,1.880,67.733,1.000,0.000
150,DFT (Optimized),FHD,0.100,0.403,1.999,64.186,1.000,0.000
151,DFT (Optimized),FHD,0.150,0.378,1.545,61.283,0.999,0.000
152,DFT (Optimized),FHD,0.200,0.377,1.642,59.086,0.999,0.000
153,DFT (Optimized),FHD,0.250,0.413,2.018,57.320,0.998,0.000
154,DFT (Optimized),FHD,0.300,0.369,1.938,55.852,0.998,0.000
155,DFT (Optimized),FHD,0.350,0.406,1.899,54.596,0.997,0.000
156,DFT (Optimized),FHD,0.400,0.379,1.771,53.500,0.996,0.000
157,DFT (Optimized),FHD,0.450,0.392,1.923,52.531,0.995,0.000
158,DFT (Optimized),FHD,0.500,0.390,1.836,51.664,0.994,0.000
159,DFT (Optimized),FHD,0.550,0.400,1.796,50.873,0.993,0.000
160,DFT (Optimized),FHD,0.600,0.401,1.540,50.151,0.992,0.000
161,DFT (Optimized),FHD,0.650,0.433,1.909,49.486,0.991,0.000
162,DFT (Optimized),FHD,0.700,0.417,1.594,48.868,0.990,0.000
163,DFT (Optimized),FHD,0.750,0.420,1.830,48.292,0.989,0.000
164,DFT (Optimized),FHD,0.800,0.416,1.963,47.754,0.988,0.000
165,DFT (Optimized),FHD,0.850,0.449,1.929,47.247,0.987,0.000
166,DFT (Optimized),FHD,0.900,0.420,2.063,46.768,0.985,0.000
167,DFT (Optimized),FHD,0.950,0.404,1.832,46.316,0.984,0.000
168,DFT (Optimized),FHD,1.000,0.427,2.069,45.886,0.983,0.000
