Iteration,Algorithm,Resolution,ALPHA,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
41,DCT (Legacy),FHD,0.163,1.06307,182.38,14.9521,0.0966972
42,DCT (Legacy),FHD,0.164,1.05507,278.19,14.9256,0.0960801
42,DCT (Legacy),FHD,0.165,1.06314,183.832,14.8994,0.0954697
42,DCT (Legacy),FHD,0.166,1.07066,166.254,14.8735,0.094867
42,DCT (Legacy),FHD,0.167,1.79584,205.512,14.8479,0.0942797
43,DCT (Legacy),FHD,0.168,1.06291,168.051,14.8226,0.0936945
43,DCT (Legacy),FHD,0.169,1.06362,168.447,14.7977,0.093125
43,DCT (Legacy),FHD,0.17,1.06086,173.084,14.7731,0.0925636
43,DCT (Legacy),FHD,0.171,1.05856,166.593,14.7487,0.0920089
44,DCT (Legacy),FHD,0.172,1.06339,167.028,14.7247,0.0914619
44,DCT (Legacy),FHD,0.173,1.05424,185.306,14.701,0.0909222
44,DCT (Legacy),FHD,0.174,1.07971,162.19,14.6775,0.0903915
44,DCT (Legacy),FHD,0.175,1.0599,169.164,14.6543,0.089868
45,DCT (Legacy),FHD,0.176,1.0608,169.172,14.6313,0.0893519
45,DCT (Legacy),FHD,0.177,1.06416,161.795,14.6089,0.088841
45,DCT (Legacy),FHD,0.178,1.0641,197,14.5863,0.0883336
45,DCT (Legacy),FHD,0.179,1.06394,168.201,14.5642,0.0878395
46,DCT (Legacy),FHD,0.18,1.06976,171.649,14.5424,0.0873476
46,DCT (Legacy),FHD,0.181,1.06464,168.404,14.5208,0.0868605
46,DCT (Legacy),FHD,0.182,1.05677,173.24,14.4995,0.0863814
46,DCT (Legacy),FHD,0.183,1.06291,168.719,14.4783,0.0859107
47,DCT (Legacy),FHD,0.184,1.0632,176.088,14.4575,0.0854513
47,DCT (Legacy),FHD,0.185,1.06301,163.516,14.4369,0.0849936
47,DCT (Legacy),FHD,0.186,1.06323,162.492,14.4165,0.0845368
47,DCT (Legacy),FHD,0.187,1.0553,175.603,14.3963,0.0840874
48,DCT (Legacy),FHD,0.188,1.06374,166.82,14.3764,0.0836468
48,DCT (Legacy),FHD,0.189,1.06304,172.936,14.3567,0.0832084
48,DCT (Legacy),FHD,0.19,1.0528,167.842,14.3372,0.0827809
48,DCT (Legacy),FHD,0.191,1.06381,169.236,14.3179,0.0823681
49,DCT (Legacy),FHD,0.192,1.06349,167.247,14.2989,0.08195
49,DCT (Legacy),FHD,0.193,2.86579,166.544,14.28,0.081537
49,DCT (Legacy),FHD,0.194,1.06445,164.619,14.2612,0.0811312
49,DCT (Legacy),FHD,0.195,1.0625,164.033,14.2428,0.0807276
50,DCT (Legacy),FHD,0.196,1.08544,167.075,14.2246,0.0803339
50,DCT (Legacy),FHD,0.197,1.06483,171.115,14.2065,0.0799494
50,DCT (Legacy),FHD,0.198,1.07731,163.486,14.1886,0.0795608
50,DCT (Legacy),FHD,0.199,1.63635,165.389,14.171,0.0791833
51,DCT (Legacy),FHD,0.2,1.06496,169.23,14.1536,0.0788107
51,DCT (Legacy),FHD,0.201,1.08339,167.172,14.1362,0.0784377
51,DCT (Legacy),FHD,0.202,1.05542,163.555,14.1189,0.0780678
51,DCT (Legacy),FHD,0.203,1.05472,165.57,14.102,0.0777049
52,DCT (Legacy),FHD,0.204,1.06346,191.085,14.0851,0.0773482
52,DCT (Legacy),FHD,0.205,1.06179,164.386,14.0685,0.0769956
52,DCT (Legacy),FHD,0.206,1.06176,165.706,14.0521,0.0766496
52,DCT (Legacy),FHD,0.207,1.06294,176.192,14.0358,0.0762999
53,DCT (Legacy),FHD,0.208,1.05366,167.315,14.0197,0.0759612
53,DCT (Legacy),FHD,0.209,1.0633,161.886,14.0036,0.0756227
53,DCT (Legacy),FHD,0.21,1.06429,171.819,13.9879,0.0752914
53,DCT (Legacy),FHD,0.211,1.64531,174.193,13.9722,0.0749603
54,DCT (Legacy),FHD,0.212,1.06301,166.102,13.9566,0.0746341
54,DCT (Legacy),FHD,0.213,1.05882,167.398,13.9413,0.0743159
54,DCT (Legacy),FHD,0.214,1.06282,166.086,13.9259,0.0739936
54,DCT (Legacy),FHD,0.215,1.06179,170.99,13.911,0.073677
55,DCT (Legacy),FHD,0.216,1.06474,173.047,13.896,0.0733727
55,DCT (Legacy),FHD,0.217,1.06422,165.772,13.8812,0.0730673
55,DCT (Legacy),FHD,0.218,1.064,164.466,13.8667,0.0727674
55,DCT (Legacy),FHD,0.219,1.06314,168.012,13.8521,0.0724686
56,DCT (Legacy),FHD,0.22,1.79955,162.552,13.8377,0.0721745
56,DCT (Legacy),FHD,0.221,1.05472,166.806,13.8234,0.0718819
56,DCT (Legacy),FHD,0.222,1.06365,164.521,13.8094,0.0715884
56,DCT (Legacy),FHD,0.223,1.07341,164.885,13.7953,0.071302
57,DCT (Legacy),FHD,0.224,1.05728,174.361,13.7814,0.0710178
57,DCT (Legacy),FHD,0.225,1.0751,163.804,13.7677,0.070739
57,DCT (Legacy),FHD,0.226,1.06896,163.556,13.7541,0.0704659
57,DCT (Legacy),FHD,0.227,1.0633,163.09,13.7405,0.0701918
58,DCT (Legacy),FHD,0.228,1.05552,168.482,13.7271,0.0699227
58,DCT (Legacy),FHD,0.229,1.05725,171.05,13.714,0.0696543
58,DCT (Legacy),FHD,0.23,1.0567,166.172,13.7007,0.069391
58,DCT (Legacy),FHD,0.231,1.06413,164.823,13.6877,0.0691325
59,DCT (Legacy),FHD,0.232,1.08954,168.998,13.6747,0.0688758
59,DCT (Legacy),FHD,0.233,1.06307,175.313,13.6619,0.0686212
59,DCT (Legacy),FHD,0.234,1.05677,163.799,13.6491,0.0683725
